Model,Accuracy,Macro F1,Log Loss
Poisson,0.8222222222222222,0.7298311444652908,0.4768577348162131
Random Forest,0.5111111111111111,0.45235548764960526,1.0376443040144618
Gradient Boosting,0.4777777777777778,0.4174603174603175,1.0555028894283822
Logistic Regression,0.4666666666666667,0.4145042805854737,1.0911133247213007
XGBoost,0.4666666666666667,0.39132501485442656,1.1253411919971885
