Feature,Importance
elo_b,0.0815574524712996
elo_diff,0.07993451925347347
elo_a,0.07844254137147567
goals_for_diff,0.06459768069378685
avg_goals_for_a,0.05610461427942761
form_diff,0.054410353409414414
avg_goals_for_b,0.05312007142129556
avg_goal_diff_a,0.05308840869194196
win_rate_diff,0.04818868857355825
recent_goal_diff,0.04750816649556872
goals_against_diff,0.0463854050259813
avg_goals_against_b,0.04371888849918962
avg_goals_against_a,0.04236782037286416
win_rate_a,0.04225675778802064
avg_goal_diff_b,0.04143156175034408
form_points_a,0.04120663501718012
form_points_b,0.039334215414017104
win_rate_b,0.03041783274941124
recent_games_b,0.026993317250050428
recent_games_a,0.01899261619277242
is_knockout,0.009942453278926946
